bank_stmt_id,credit_date,credit_amount,raw_narration
stmt_101,2026-08-08,41239.45,CMS/PAY/RZP/900000 NET
stmt_102,2026-08-06,8183.34,CMS/RZP/UTR900001/NET_SETTL
stmt_103,2026-08-10,12167.32,HDFC CMP RZP BATCH 900002 NET
stmt_104,2026-08-20,7730.52,CMS/RZP/UTR900003/NET_SETTL
stmt_105,2026-08-15,13402.47,CMS/RZP/UTR900004/NET_SETTL
stmt_106,2026-08-02,29521.28,CMS/RZP/UTR900005/NET_SETTL
stmt_107,2026-08-14,20885.75,SETTL-REF-NO-900006 NET
stmt_108,2026-08-05,5592.0,CMS/RZP/UTR900007/NET_SETTL
stmt_109,2026-08-04,11007.88,CMS/RZP/UTR900008/NET_SETTL
stmt_110,2026-08-21,29371.07,CMS/RZP/UTR900009/NET_SETTL
stmt_111,2026-08-13,37012.68,CMS/RZP/UTR900010/NET_SETTL
stmt_112,2026-08-04,14063.49,CMS/RZP/UTR900011/NET_SETTL
stmt_113,2026-08-07,31013.6,CMS/RZP/UTR900012/NET_SETTL
stmt_114,2026-08-21,9892.13,CMS/RZP/UTR900013/NET_SETTL
stmt_115,2026-08-15,29048.86,CMS/RZP/UTR900014/NET_SETTL
stmt_116,2026-08-22,22666.28,UNKNOWN NEFT CREDIT NO_UTR_662
stmt_117,2026-08-18,14647.06,CMS/RZP/UTR900016/NET_SETTL
stmt_118,2026-08-15,3818.01,CMS/RZP/UTR900017/NET_SETTL
stmt_119,2026-08-02,5618.96,CMS/PAY/RZP/900018 NET
stmt_120,2026-08-06,13391.08,CMS/RZP/UTR900019/NET_SETTL
stmt_121,2026-08-13,27616.06,CMS/RZP/UTR900020/NET_SETTL
stmt_122,2026-08-15,13487.47,CMS/RZP/UTR900021/NET_SETTL
stmt_123,2026-08-06,6693.43,CMS/RZP/UTR900022/NET_SETTL
stmt_124,2026-08-16,10418.51,HDFC CMP RZP BATCH 900023 NET
stmt_125,2026-08-17,2567.79,NEFT-CMS-RAZORPAY-900024 NET
stmt_126,2026-08-04,664.86,CMS/RZP/UTR900025/NET_SETTL
stmt_127,2026-08-15,8760.43,CMS/RZP/UTR900026/ADJ_UNKN
stmt_128,2026-08-12,27784.95,CMS/RZP/UTR900027/NET_SETTL
stmt_129,2026-08-05,12963.44,CMS/RZP/UTR900028/NET_SETTL
stmt_130,2026-08-03,12919.18,CMS/RZP/UTR900029/NET_SETTL
stmt_131,2026-08-17,19725.67,CMS/RZP/UTR900030/NET_SETTL
stmt_132,2026-08-05,16893.57,CMS/RZP/UTR900031/NET_LESS_RFND
stmt_133,2026-08-07,29074.71,CMS/RZP/UTR900032/NET_SETTL
stmt_134,2026-08-04,15885.91,CMS/RZP/UTR900033/NET_SETTL
stmt_135,2026-08-12,12639.24,CMS/RZP/UTR900034/NET_SETTL
stmt_136,2026-08-04,11198.88,CMS/RZP/UTR900035/NET_SETTL
stmt_137,2026-08-11,10472.83,CMS/RZP/UTR900036/NET_SETTL
stmt_138,2026-08-10,8469.51,CMS/RZP/UTR900037/NET_SETTL
stmt_139,2026-08-17,4941.96,CMS/RZP/UTR900038/NET_SETTL
stmt_140,2026-08-11,32762.33,CMS/RZP/UTR900039/NET_SETTL
stmt_141,2026-08-13,26578.94,CMS/RZP/UTR900040/NET_SETTL
stmt_142,2026-08-15,12582.32,CMS/RZP/UTR900041/NET_SETTL
stmt_143,2026-08-17,13672.54,CMS/RZP/UTR900042/ADJ_UNKN
stmt_144,2026-08-04,20471.33,CMS/RZP/UTR900043/NET_LESS_RFND
stmt_145,2026-08-19,35091.13,CMS/RZP/UTR900044/NET_SETTL
stmt_146,2026-08-15,41608.99,CMS/PAY/RZP/900045 NET
stmt_147,2026-08-05,16208.2,CMS/RZP/UTR900046/NET_SETTL
stmt_148,2026-08-05,6927.28,CMS/RZP/UTR900047/NET_SETTL
stmt_149,2026-08-08,10103.56,CMS/RZP/UTR900048/NET_SETTL
stmt_150,2026-08-13,3025.09,CMS/RZP/UTR900049/NET_SETTL
stmt_151,2026-08-17,45952.92,CMS/RZP/UTR900050/NET_SETTL
stmt_152,2026-08-06,5634.17,CMS/RZP/UTR900051/NET_SETTL
stmt_153,2026-08-12,34088.98,CMS/RZP/UTR900052/NET_SETTL
stmt_154,2026-08-22,14868.88,CMS/RZP/UTR900053/NET_SETTL
stmt_155,2026-08-03,18822.96,CMS/RZP/UTR900054/NET_SETTL
stmt_156,2026-08-06,26945.58,CMS/RZP/UTR900055/NET_SETTL
stmt_157,2026-08-10,30575.53,CMS/RZP/UTR900056/NET_SETTL
stmt_158,2026-08-16,3040.47,HDFC CMP RZP BATCH 900057 NET
stmt_159,2026-08-15,7573.82,SETTL-REF-NO-900058 NET
stmt_160,2026-08-22,17661.51,SETTL-REF-NO-900059 NET
stmt_161,2026-08-16,16465.71,CMS/RZP/UTR900060/NET_SETTL
stmt_162,2026-08-09,14473.43,CMS/RZP/UTR900061/NET_SETTL
stmt_163,2026-08-14,29518.85,CMS/RZP/UTR900062/NET_SETTL
stmt_164,2026-08-08,16210.63,CMS/RZP/UTR900063/NET_LESS_RFND
stmt_165,2026-08-17,14130.28,CMS/RZP/UTR900064/NET_SETTL
stmt_166,2026-08-03,24732.77,CMS/RZP/UTR900065/NET_SETTL
stmt_167,2026-08-16,40486.62,CMS/RZP/UTR900066/NET_SETTL
stmt_168,2026-08-21,8429.43,CMS/RZP/UTR900067/NET_SETTL
stmt_169,2026-08-21,10720.37,CMS/RZP/UTR900068/NET_SETTL
stmt_170,2026-08-20,32922.15,SETTL-REF-NO-900069 NET
stmt_171,2026-08-02,37937.52,CMS/RZP/UTR900070/NET_SETTL
stmt_172,2026-08-16,14479.48,CMS/RZP/UTR900071/NET_SETTL
stmt_173,2026-08-07,-164.65,CMS/RZP/UTR900072/NET_LESS_RFND
stmt_174,2026-08-15,20311.04,HDFC CMP RZP BATCH 900073 NET
stmt_175,2026-08-14,4763.07,CMS/RZP/UTR900074/NET_SETTL
stmt_176,2026-08-11,28392.59,CMS/PAY/RZP/900075 NET
stmt_177,2026-08-19,13603.26,CMS/RZP/UTR900076/NET_SETTL
stmt_178,2026-08-17,20075.73,CMS/RZP/UTR900077/NET_SETTL
stmt_179,2026-08-15,46974.36,CMS/RZP/UTR900078/NET_SETTL
