payment_id,order_id,settlement_id,amount,payment_method,fee,tax,holdback,net_amount,status,captured_at
pay_2000,ord_1000,setl_5000,13122.52,UPI,0.0,0.0,0.0,13122.52,CAPTURED,2026-08-09 10:00:00
pay_2001,ord_1001,setl_5001,8321.0,CREDIT_CARD,166.42,29.96,0.0,8124.62,FAILED,2026-08-05 10:00:00
pay_2002,ord_1002,setl_5001,5200.26,UPI,0.0,0.0,0.0,5200.26,CAPTURED,2026-08-05 10:00:00
pay_2003,ord_1003,setl_5002,13231.14,NETBANKING,238.16,42.87,1323.11,11627.0,CAPTURED,2026-08-08 10:00:00
pay_2004,ord_1004,setl_5002,1503.58,CREDIT_CARD,30.07,5.41,0.0,1468.1,CAPTURED,2026-08-08 10:00:00
pay_2005,ord_1005,setl_5003,8151.27,DEBIT_CARD,73.36,13.2,0.0,8064.71,CAPTURED,2026-08-18 10:00:00
pay_2006,ord_1006,setl_5003,11451.35,CREDIT_CARD,229.03,41.23,0.0,11181.09,CAPTURED,2026-08-18 10:00:00
pay_2007,ord_1007,setl_5003,10239.46,UPI,0.0,0.0,0.0,10239.46,CAPTURED,2026-08-18 10:00:00
pay_2008,ord_1008,setl_5004,9032.38,UPI,56.74,0.0,0.0,8975.64,CAPTURED,2026-08-11 10:00:00
pay_2009,ord_1009,setl_5004,955.49,UPI,0.0,0.0,0.0,955.49,CAPTURED,2026-08-11 10:00:00
pay_2010,ord_1010,setl_5005,10988.61,CREDIT_CARD,219.77,39.56,0.0,10729.28,CAPTURED,2026-08-16 10:00:00
pay_2011,ord_1011,setl_5005,7358.11,UPI,0.0,0.0,735.81,6622.3,CAPTURED,2026-08-16 10:00:00
pay_2012,ord_1012,setl_5006,7271.86,CREDIT_CARD,145.44,26.18,0.0,7100.24,CAPTURED,2026-08-12 10:00:00
pay_2013,ord_1013,setl_5006,1927.06,UPI,0.0,0.0,0.0,1927.06,CAPTURED,2026-08-12 10:00:00
pay_2014,ord_1014,setl_5006,4105.52,UPI,0.0,0.0,0.0,4105.52,CAPTURED,2026-08-12 10:00:00
pay_2015,ord_1015,setl_5006,4538.9,UPI,0.0,0.0,0.0,4538.9,CAPTURED,2026-08-12 10:00:00
pay_2016,ord_1016,setl_5007,14550.45,NETBANKING,261.91,47.14,0.0,14241.4,CAPTURED,2026-08-04 10:00:00
pay_2017,ord_1017,setl_5008,13037.43,NETBANKING,234.67,42.24,0.0,12760.52,FAILED,2026-08-16 10:00:00
pay_2018,ord_1018,setl_5008,6161.12,NETBANKING,110.9,19.96,0.0,6030.26,CAPTURED,2026-08-16 10:00:00
pay_2019,ord_1019,setl_5009,3253.52,UPI,0.0,0.0,325.35,2928.17,CAPTURED,2026-08-18 10:00:00
pay_2020,ord_1020,setl_5009,1383.88,UPI,0.0,0.0,138.39,1245.49,CAPTURED,2026-08-18 10:00:00
pay_2021,ord_1021,setl_5010,14431.29,UPI,0.0,0.0,0.0,14431.29,CAPTURED,2026-08-17 10:00:00
pay_2022,ord_1022,setl_5011,14153.14,DEBIT_CARD,185.58,22.93,0.0,13944.63,CAPTURED,2026-08-08 10:00:00
pay_2023,ord_1023,setl_5012,3461.76,CREDIT_CARD,69.24,12.46,0.0,3380.06,CAPTURED,2026-08-19 10:00:00
pay_2024,ord_1024,setl_5012,10239.51,UPI,0.0,0.0,0.0,10239.51,CAPTURED,2026-08-19 10:00:00
pay_2025,ord_1025,setl_5012,1551.88,DEBIT_CARD,13.97,2.51,0.0,1535.4,CAPTURED,2026-08-19 10:00:00
pay_2026,ord_1026,setl_5013,2420.62,UPI,0.0,0.0,242.06,2178.56,CAPTURED,2026-08-03 10:00:00
pay_2027,ord_1027,setl_5013,4632.32,UPI,0.0,0.0,0.0,4632.32,CAPTURED,2026-08-03 10:00:00
pay_2028,ord_1028,setl_5013,14765.87,CREDIT_CARD,295.32,53.16,0.0,14417.39,CAPTURED,2026-08-03 10:00:00
pay_2029,ord_1029,setl_5014,2173.72,UPI,0.0,0.0,0.0,2173.72,CAPTURED,2026-08-04 10:00:00
pay_2030,ord_1030,setl_5014,9270.03,CREDIT_CARD,185.4,33.37,0.0,9051.26,CAPTURED,2026-08-04 10:00:00
pay_2031,ord_1031,setl_5014,4327.77,DEBIT_CARD,38.95,7.01,0.0,4281.81,CAPTURED,2026-08-04 10:00:00
pay_2032,ord_1032,setl_5015,1139.26,UPI,0.0,0.0,0.0,1139.26,CAPTURED,2026-08-03 10:00:00
pay_2033,ord_1033,setl_5015,2842.94,UPI,0.0,0.0,0.0,2842.94,CAPTURED,2026-08-03 10:00:00
pay_2034,ord_1034,setl_5015,2122.17,NETBANKING,38.2,6.88,0.0,2077.09,CAPTURED,2026-08-03 10:00:00
