order_id,amount,currency,payment_method,risk_tier,status,created_at
ord_1000,13122.52,INR,UPI,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1001,8321.0,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1002,5200.26,INR,UPI,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1003,13231.14,INR,NETBANKING,HIGH_RISK,COMPLETED,2026-08-08 10:00:00
ord_1004,1503.58,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1005,8151.27,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1006,11451.35,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1007,10239.46,INR,UPI,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1008,9032.38,INR,UPI,STANDARD,COMPLETED,2026-08-11 10:00:00
ord_1009,955.49,INR,UPI,STANDARD,COMPLETED,2026-08-11 10:00:00
ord_1010,10988.61,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1011,7358.11,INR,UPI,HIGH_RISK,COMPLETED,2026-08-16 10:00:00
ord_1012,7271.86,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-12 10:00:00
ord_1013,1927.06,INR,UPI,STANDARD,COMPLETED,2026-08-12 10:00:00
ord_1014,4105.52,INR,UPI,STANDARD,COMPLETED,2026-08-12 10:00:00
ord_1015,4538.9,INR,UPI,STANDARD,COMPLETED,2026-08-12 10:00:00
ord_1016,14550.45,INR,NETBANKING,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1017,13037.43,INR,NETBANKING,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1018,6161.12,INR,NETBANKING,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1019,3253.52,INR,UPI,HIGH_RISK,COMPLETED,2026-08-18 10:00:00
ord_1020,1383.88,INR,UPI,HIGH_RISK,COMPLETED,2026-08-18 10:00:00
ord_1021,14431.29,INR,UPI,STANDARD,COMPLETED,2026-08-17 10:00:00
ord_1022,14153.14,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1023,3461.76,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-19 10:00:00
ord_1024,10239.51,INR,UPI,STANDARD,COMPLETED,2026-08-19 10:00:00
ord_1025,1551.88,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-19 10:00:00
ord_1026,2420.62,INR,UPI,HIGH_RISK,COMPLETED,2026-08-03 10:00:00
ord_1027,4632.32,INR,UPI,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1028,14765.87,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1029,2173.72,INR,UPI,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1030,9270.03,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1031,4327.77,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1032,1139.26,INR,UPI,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1033,2842.94,INR,UPI,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1034,2122.17,INR,NETBANKING,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1035,6731.91,INR,UPI,STANDARD,COMPLETED,2026-08-02 10:00:00
ord_1036,14596.85,INR,UPI,STANDARD,COMPLETED,2026-08-02 10:00:00
ord_1037,13923.58,INR,UPI,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1038,3067.26,INR,UPI,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1039,2808.37,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1040,3393.81,INR,NETBANKING,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1041,13134.18,INR,UPI,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1042,5591.62,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1043,5301.67,INR,UPI,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1044,8918.55,INR,NETBANKING,HIGH_RISK,COMPLETED,2026-08-09 10:00:00
ord_1045,9290.03,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-12 10:00:00
ord_1046,4193.48,INR,CREDIT_CARD,HIGH_RISK,COMPLETED,2026-08-12 10:00:00
ord_1047,8307.55,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-12 10:00:00
ord_1048,5781.21,INR,UPI,STANDARD,COMPLETED,2026-08-12 10:00:00
ord_1049,10169.95,INR,UPI,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1050,3281.68,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1051,3023.4,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1052,6905.9,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1053,14417.56,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1054,10125.88,INR,DEBIT_CARD,HIGH_RISK,COMPLETED,2026-08-14 10:00:00
ord_1055,3905.59,INR,UPI,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1056,9363.47,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-02 10:00:00
ord_1057,8847.23,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-02 10:00:00
ord_1058,2639.78,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-02 10:00:00
ord_1059,13339.25,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-02 10:00:00
ord_1060,7118.7,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-02 10:00:00
ord_1061,13509.52,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-20 10:00:00
ord_1062,4084.98,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-20 10:00:00
ord_1063,9587.85,INR,UPI,HIGH_RISK,COMPLETED,2026-08-20 10:00:00
ord_1064,4439.87,INR,UPI,STANDARD,COMPLETED,2026-08-20 10:00:00
ord_1065,6410.19,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-07 10:00:00
ord_1066,6592.08,INR,NETBANKING,STANDARD,COMPLETED,2026-08-07 10:00:00
ord_1067,12922.61,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-07 10:00:00
ord_1068,5600.5,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-07 10:00:00
ord_1069,3681.61,INR,UPI,HIGH_RISK,COMPLETED,2026-08-14 10:00:00
ord_1070,10347.56,INR,UPI,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1071,2350.6,INR,DEBIT_CARD,HIGH_RISK,COMPLETED,2026-08-14 10:00:00
ord_1072,8683.68,INR,UPI,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1073,4272.27,INR,UPI,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1074,12606.21,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1075,3751.22,INR,UPI,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1076,4085.61,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1077,7242.99,INR,UPI,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1078,14474.15,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1079,13968.86,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1080,1977.57,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-07 10:00:00
ord_1081,2255.3,INR,NETBANKING,STANDARD,COMPLETED,2026-08-07 10:00:00
ord_1082,7836.43,INR,UPI,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1083,3053.99,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1084,13834.46,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1085,9090.88,INR,UPI,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1086,4544.46,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1087,3136.68,INR,UPI,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1088,13264.64,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1089,14246.91,INR,UPI,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1090,11997.53,INR,UPI,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1091,4939.99,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1092,6669.81,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1093,4428.29,INR,UPI,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1094,3637.58,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1095,8107.23,INR,UPI,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1096,4882.88,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1097,4735.98,INR,NETBANKING,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1098,7441.36,INR,UPI,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1099,12994.98,INR,UPI,HIGH_RISK,COMPLETED,2026-08-01 10:00:00
ord_1100,8866.81,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1101,14262.32,INR,UPI,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1102,7032.46,INR,UPI,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1103,4928.01,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1104,14240.06,INR,UPI,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1105,2777.33,INR,UPI,HIGH_RISK,COMPLETED,2026-08-14 10:00:00
ord_1106,973.28,INR,UPI,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1107,1532.11,INR,UPI,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1108,9051.95,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1109,12486.15,INR,UPI,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1110,11359.89,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1111,10485.83,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1112,9171.53,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1113,14447.71,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1114,14993.8,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1115,3131.59,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1116,1823.01,INR,UPI,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1117,12937.13,INR,UPI,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1118,1776.87,INR,UPI,STANDARD,COMPLETED,2026-08-13 10:00:00
ord_1119,13041.2,INR,CREDIT_CARD,HIGH_RISK,COMPLETED,2026-08-13 10:00:00
ord_1120,7198.66,INR,UPI,STANDARD,COMPLETED,2026-08-13 10:00:00
ord_1121,7728.15,INR,UPI,HIGH_RISK,COMPLETED,2026-08-13 10:00:00
ord_1122,13272.28,INR,DEBIT_CARD,HIGH_RISK,COMPLETED,2026-08-05 10:00:00
ord_1123,12090.05,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1124,6415.86,INR,UPI,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1125,14232.38,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1126,12603.5,INR,NETBANKING,STANDARD,COMPLETED,2026-08-17 10:00:00
ord_1127,6062.0,INR,NETBANKING,STANDARD,COMPLETED,2026-08-17 10:00:00
ord_1128,13028.39,INR,UPI,STANDARD,COMPLETED,2026-08-17 10:00:00
ord_1129,14046.6,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-17 10:00:00
ord_1130,6974.94,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1131,5969.55,INR,NETBANKING,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1132,12912.19,INR,UPI,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1133,13744.74,INR,UPI,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1134,7783.22,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1135,6884.44,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1136,7307.61,INR,NETBANKING,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1137,14335.02,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1138,8344.73,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1139,4667.0,INR,UPI,HIGH_RISK,COMPLETED,2026-08-03 10:00:00
ord_1140,11525.36,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1141,5203.43,INR,UPI,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1142,2964.76,INR,UPI,STANDARD,COMPLETED,2026-08-17 10:00:00
ord_1143,3992.03,INR,NETBANKING,STANDARD,COMPLETED,2026-08-17 10:00:00
ord_1144,10169.19,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1145,8425.67,INR,UPI,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1146,4837.74,INR,NETBANKING,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1147,12873.36,INR,UPI,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1148,4790.15,INR,CREDIT_CARD,HIGH_RISK,COMPLETED,2026-08-10 10:00:00
ord_1149,6239.18,INR,UPI,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1150,14617.24,INR,NETBANKING,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1151,3675.57,INR,UPI,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1152,11628.33,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1153,9598.14,INR,UPI,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1154,5237.43,INR,UPI,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1155,13208.68,INR,UPI,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1156,2885.89,INR,NETBANKING,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1157,7290.81,INR,UPI,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1158,11964.89,INR,UPI,STANDARD,COMPLETED,2026-08-13 10:00:00
ord_1159,2071.02,INR,UPI,HIGH_RISK,COMPLETED,2026-08-09 10:00:00
ord_1160,8640.41,INR,NETBANKING,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1161,12445.9,INR,NETBANKING,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1162,4913.29,INR,DEBIT_CARD,HIGH_RISK,COMPLETED,2026-08-05 10:00:00
ord_1163,13338.5,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-12 10:00:00
ord_1164,14116.27,INR,UPI,STANDARD,COMPLETED,2026-08-12 10:00:00
ord_1165,1940.64,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1166,5700.77,INR,UPI,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1167,12796.48,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-15 10:00:00
ord_1168,4031.75,INR,UPI,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1169,11594.78,INR,UPI,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1170,5264.11,INR,UPI,STANDARD,COMPLETED,2026-08-01 10:00:00
ord_1171,12078.45,INR,UPI,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1172,5694.51,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1173,4347.83,INR,UPI,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1174,11781.25,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1175,14208.53,INR,UPI,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1176,8061.04,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1177,7445.24,INR,UPI,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1178,1452.39,INR,UPI,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1179,5215.19,INR,NETBANKING,STANDARD,COMPLETED,2026-08-03 10:00:00
ord_1180,11999.89,INR,UPI,STANDARD,COMPLETED,2026-08-20 10:00:00
ord_1181,7047.55,INR,UPI,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1182,6531.85,INR,UPI,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1183,5927.36,INR,UPI,STANDARD,COMPLETED,2026-08-18 10:00:00
ord_1184,12560.69,INR,UPI,HIGH_RISK,COMPLETED,2026-08-18 10:00:00
ord_1185,10215.19,INR,UPI,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1186,6632.58,INR,NETBANKING,HIGH_RISK,COMPLETED,2026-08-05 10:00:00
ord_1187,5030.51,INR,UPI,STANDARD,COMPLETED,2026-08-05 10:00:00
ord_1188,5576.65,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-16 10:00:00
ord_1189,9330.43,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-08 10:00:00
ord_1190,5589.84,INR,UPI,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1191,1508.99,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1192,8192.0,INR,UPI,STANDARD,COMPLETED,2026-08-09 10:00:00
ord_1193,2755.91,INR,CREDIT_CARD,HIGH_RISK,COMPLETED,2026-08-11 10:00:00
ord_1194,6505.66,INR,UPI,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1195,2107.9,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1196,4972.08,INR,UPI,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1197,14207.2,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-14 10:00:00
ord_1198,11331.7,INR,UPI,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1199,7753.8,INR,CREDIT_CARD,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1200,12995.58,INR,UPI,HIGH_RISK,COMPLETED,2026-08-04 10:00:00
ord_1201,13000.6,INR,DEBIT_CARD,STANDARD,COMPLETED,2026-08-04 10:00:00
ord_1202,802.42,INR,UPI,STANDARD,COMPLETED,2026-08-10 10:00:00
ord_1203,12564.38,INR,NETBANKING,HIGH_RISK,COMPLETED,2026-08-10 10:00:00
